Sample	Expression
MB-0000	1.655701112
MB-0002	0.004802758
MB-0005	0.907376665
MB-0006	2.211006444
MB-0010	-0.109599494
MB-0014	0.393141138
MB-0022	0.04435077
MB-0028	0.326415411
MB-0035	1.948627689
MB-0036	1.173163192
MB-0039	2.843654565
MB-0045	0.825258756
MB-0046	-0.23675066
MB-0048	0.211259817
MB-0050	0.686838021
MB-0053	1.061173632
MB-0054	0.224629171
MB-0056	1.129760655
MB-0060	0.601324853
MB-0062	5.013115773
MB-0064	0.136550929
MB-0066	0.075512
MB-0068	-0.923999924
MB-0079	0.562154965
MB-0081	0.877613113
MB-0083	1.353329826
MB-0093	0.189088827
MB-0095	-0.018246347
MB-0097	1.980457211
MB-0100	0.191628644
MB-0101	-0.960707173
MB-0102	-0.864136981
MB-0106	0.359874549
MB-0107	1.672894564
MB-0108	1.360211291
MB-0109	-0.018883978
MB-0111	0.037431128
MB-0112	0.679006693
MB-0113	1.705961848
MB-0114	0.651462362
MB-0115	0.333370978
MB-0116	-0.461452403
MB-0117	0.402827322
MB-0119	-0.360957089
MB-0120	-1.199600328
MB-0121	-0.136011492
MB-0122	1.435720865
MB-0123	0.208634741
MB-0124	0.334545796
MB-0125	-0.531295029
MB-0126	-1.372975145
MB-0128	-1.281117653
MB-0129	0.237634181
MB-0130	0.323989491
MB-0131	0.55163862
MB-0133	-0.266506356
MB-0134	-1.077465576
MB-0135	0.310776236
MB-0136	0.051731052
MB-0138	-0.503218752
MB-0139	0.447624364
MB-0140	0.305752059
MB-0142	-0.793332746
MB-0143	-0.664426015
MB-0144	-0.42379855
MB-0145	-0.252372852
MB-0146	0.538516835
MB-0147	3.97242951
MB-0148	1.437932489
MB-0149	3.55116757
MB-0150	2.306042539
MB-0151	-0.157469816
MB-0152	0.36997308
MB-0154	0.584938055
MB-0155	-1.796929678
MB-0157	-0.205677441
MB-0162	0.40055361
MB-0163	0.071022117
MB-0164	2.450591464
MB-0165	-1.217957562
MB-0166	0.401490579
MB-0167	1.672081036
MB-0168	0.045401843
MB-0170	0.052500436
MB-0171	0.591922829
MB-0172	1.123759847
MB-0173	0.837145491
MB-0174	-1.535580278
MB-0175	0.211813817
MB-0176	-0.059349425
MB-0177	0.061201579
MB-0178	1.659539481
MB-0179	-1.32101685
MB-0180	1.87101981
MB-0181	-0.7136175
MB-0184	-1.085188676
MB-0188	-0.358769477
MB-0189	0.109563647
MB-0191	-0.085818559
MB-0192	-0.95091559
MB-0193	-0.777917135
MB-0194	-0.082737406
MB-0195	1.657951639
MB-0197	-0.21029421
MB-0198	-1.080690276
MB-0199	-0.148492512
MB-0200	2.43347693
MB-0201	-0.245080161
MB-0202	-0.054223942
MB-0203	0.284617944
MB-0204	-0.343056712
MB-0205	-0.004204556
MB-0206	0.085975773
MB-0207	-0.730052703
MB-0209	-0.74865345
MB-0211	-0.663290496
MB-0214	-0.606512046
MB-0215	-0.744707967
MB-0218	-0.216069355
MB-0220	-0.586648833
MB-0221	-1.015668322
MB-0222	-0.086572179
MB-0223	-1.604271042
MB-0224	-0.563013633
MB-0225	-0.478609033
MB-0226	-0.723842576
MB-0227	-0.212704316
MB-0228	1.530293755
MB-0229	-0.704621668
MB-0230	1.660192923
MB-0231	-1.117686312
MB-0232	1.232068626
MB-0233	-1.177132225
MB-0234	-1.082600553
MB-0235	0.052057756
MB-0236	0.735799679
MB-0238	0.447464546
MB-0239	-1.150025567
MB-0241	1.448332567
MB-0242	0.593167936
MB-0243	-0.041062428
MB-0244	-0.922129377
MB-0245	0.249009772
MB-0247	-0.741733344
MB-0248	1.90186442
MB-0249	0.953046214
MB-0253	-1.365482284
MB-0256	0.230184159
MB-0257	-1.726056288
MB-0258	-0.342746152
MB-0259	4.786089111
MB-0260	0.409902248
MB-0261	-0.168989973
MB-0262	-0.068120988
MB-0263	0.187781872
MB-0264	1.412187333
MB-0265	-2.384289321
MB-0266	-0.648531982
MB-0268	-0.297963137
MB-0269	-0.079645743
MB-0270	-0.047176359
MB-0272	-2.234730774
MB-0273	0.845365311
MB-0275	-0.135907189
MB-0278	-0.06823035
MB-0279	-0.341966361
MB-0280	-1.065864028
MB-0282	0.03677404
MB-0284	-1.24479548
MB-0285	-0.588016267
MB-0286	-0.04887057
MB-0287	-0.400839554
MB-0288	0.014985528
MB-0289	-0.432989813
MB-0290	1.269536899
MB-0291	-1.085665695
MB-0292	0.887862859
MB-0293	-1.567916129
MB-0294	0.593631473
MB-0295	-0.661659538
MB-0301	-0.435261064
MB-0302	-0.163513122
MB-0303	-0.721615567
MB-0304	-0.912735034
MB-0305	-2.570050617
MB-0306	0.163396379
MB-0307	0.331957169
MB-0308	0.73646897
MB-0309	-0.799103455
MB-0310	1.637568073
MB-0311	0.986313856
MB-0312	0.598672801
MB-0313	0.155226244
MB-0314	0.436872213
MB-0315	0.035550707
MB-0316	0.715762488
MB-0317	-0.897672148
MB-0318	0.860518596
MB-0319	-0.798697753
MB-0320	-1.234546122
MB-0321	0.377403017
MB-0322	-0.670070042
MB-0324	1.326105404
MB-0325	-1.584122292
MB-0328	1.051345586
MB-0336	-0.474574576
MB-0339	-1.849625504
MB-0340	2.347307597
MB-0341	-0.989821169
MB-0342	-0.43903532
MB-0343	0.649230913
MB-0344	0.360070105
MB-0345	0.542172389
MB-0346	1.033285609
MB-0348	-0.336687201
MB-0349	-1.361378762
MB-0350	-1.771460474
MB-0352	-0.747681866
MB-0353	-0.013479416
MB-0354	-1.625239896
MB-0356	0.174289355
MB-0358	-0.803829582
MB-0359	0.036654966
MB-0360	0.317751529
MB-0361	0.38071766
MB-0362	-0.400675411
MB-0363	-1.067785432
MB-0364	-0.301700368
MB-0365	-0.419632266
MB-0366	0.568446253
MB-0367	-0.455668954
MB-0368	2.282401709
MB-0369	0.377202151
MB-0370	-0.504413927
MB-0371	-0.597735288
MB-0372	1.491119133
MB-0373	1.055673309
MB-0374	1.475646745
MB-0375	0.417690864
MB-0377	-0.603557012
MB-0378	0.236984194
MB-0379	-0.664609035
MB-0380	-0.424208568
MB-0381	0.888955373
MB-0382	-1.607720402
MB-0383	0.308559447
MB-0384	0.001411296
MB-0385	0.003722528
MB-0386	-1.21489904
MB-0388	-0.659241704
MB-0389	-2.059056544
MB-0391	-1.461755736
MB-0392	-0.438234523
MB-0393	-1.493167264
MB-0394	-0.299191947
MB-0395	-0.033389485
MB-0396	1.473604053
MB-0397	0.243331219
MB-0398	0.166591833
MB-0399	-1.015601552
MB-0400	-1.724096664
MB-0401	-0.766852377
MB-0402	-1.207148182
MB-0404	0.929237262
MB-0406	1.837806369
MB-0410	-1.772181086
MB-0411	-1.087217442
MB-0412	1.799235243
MB-0413	-1.277134082
MB-0414	-1.238217163
MB-0417	-1.328818714
MB-0418	-0.037061894
MB-0419	-0.920587828
MB-0420	0.566367986
MB-0421	0.466587723
MB-0422	2.247891097
MB-0424	0.170491129
MB-0425	0.896673137
MB-0426	-1.34938916
MB-0427	-0.485603025
MB-0428	0.483003823
MB-0429	-0.54058152
MB-0431	-0.097089518
MB-0434	-0.235795957
MB-0436	0.405666208
MB-0437	-2.128128493
MB-0438	0.287697988
MB-0439	0.478663659
MB-0440	0.213306872
MB-0442	-1.987496901
MB-0443	-0.884958232
MB-0444	-0.612890394
MB-0445	-0.626730599
MB-0446	0.037787431
MB-0449	0.512336325
MB-0451	-1.871929899
MB-0452	2.176980874
MB-0453	0.783816807
MB-0454	-0.403836872
MB-0455	-1.092444311
MB-0458	1.068522779
MB-0459	0.798459907
MB-0460	-1.036145132
MB-0462	-0.307180942
MB-0463	-0.662500085
MB-0464	0.710987077
MB-0465	3.13096532
MB-0466	1.369251092
MB-0467	-1.834590726
MB-0468	0.49256143
MB-0469	-0.089648922
MB-0470	-1.035059105
MB-0471	-0.029385173
MB-0472	0.207909531
MB-0474	-0.39815689
MB-0475	-1.105131489
MB-0476	-1.02085399
MB-0478	-0.620843405
MB-0479	0.941549826
MB-0480	0.38830251
MB-0481	0.735172174
MB-0482	3.552401033
MB-0483	-0.561020724
MB-0484	1.170677202
MB-0485	1.579377174
MB-0486	-0.778173567
MB-0487	-0.343521375
MB-0488	0.474648646
MB-0489	-1.572198463
MB-0490	-0.029370135
MB-0491	0.7039567
MB-0492	0.340005634
MB-0494	-0.796628827
MB-0495	-1.862300271
MB-0496	-0.648248314
MB-0497	-0.304494116
MB-0500	0.752066526
MB-0501	-1.175392979
MB-0502	-2.089513343
MB-0503	-1.274591592
MB-0504	-1.304702879
MB-0505	-1.168397291
MB-0506	0.105302413
MB-0507	0.84370285
MB-0508	-0.441497665
MB-0509	-0.596253847
MB-0510	-0.367406988
MB-0511	-0.888124351
MB-0512	-0.242764417
MB-0513	-1.184381769
MB-0514	0.422153301
MB-0516	-1.217234429
MB-0517	-0.956045948
MB-0519	-0.414181611
MB-0521	-1.506081496
MB-0522	-0.392759835
MB-0524	0.400785632
MB-0525	0.790494941
MB-0526	0.183069743
MB-0527	-2.255623855
MB-0528	-1.512656649
MB-0529	0.637327096
MB-0531	-0.997981107
MB-0532	-0.700821753
MB-0534	0.002624486
MB-0535	-0.094244976
MB-0536	0.181125341
MB-0537	-1.720386073
MB-0538	1.260549922
MB-0540	-0.948240293
MB-0541	-0.286300598
MB-0542	0.640202577
MB-0544	0.380643114
MB-0545	1.08021964
MB-0550	0.404003491
MB-0551	-0.491593375
MB-0552	-0.04147924
MB-0553	2.562058105
MB-0554	1.002885565
MB-0558	-0.476538747
MB-0559	-0.539360136
MB-0568	-0.217523981
MB-0569	-1.411985224
MB-0570	0.217708092
MB-0571	-0.503287809
MB-0573	0.868840983
MB-0574	-0.467285319
MB-0575	-0.410067212
MB-0576	0.140250439
MB-0577	1.230423763
MB-0578	-0.675620424
MB-0579	-0.339879986
MB-0580	-1.28715573
MB-0581	0.226846199
MB-0582	-0.256731373
MB-0583	-0.826792323
MB-0584	-0.095697351
MB-0585	-0.008914779
MB-0586	-0.121731733
MB-0587	-0.31305236
MB-0588	-2.554788111
MB-0589	0.686241173
MB-0590	1.460171632
MB-0591	-0.364421386
MB-0593	1.256746506
MB-0594	-1.318096769
MB-0596	-1.437731242
MB-0597	0.575494028
MB-0598	0.964977033
MB-0599	0.612214507
MB-0600	0.092316507
MB-0601	-0.029351982
MB-0603	0.213823962
MB-0605	-0.839204461
MB-0606	0.08661337
MB-0607	-0.943763453
MB-0608	-1.979822121
MB-0609	2.166717155
MB-0610	-0.710505689
MB-0611	-0.250553498
MB-0613	-0.600562714
MB-0614	-0.261615335
MB-0615	0.107467266
MB-0616	1.580297949
MB-0617	-0.517784381
MB-0618	-0.622644614
MB-0619	0.52108844
MB-0620	-0.15364115
MB-0621	-0.102676452
MB-0623	-0.742642218
MB-0624	-0.92910934
MB-0626	0.946513819
MB-0627	1.26441668
MB-0628	0.247024455
MB-0630	0.428074317
MB-0631	-0.831093308
MB-0632	-0.613634635
MB-0634	-1.366990497
MB-0636	0.494660613
MB-0637	-1.449308151
MB-0638	-0.602296142
MB-0639	1.21562589
MB-0640	-0.526159144
MB-0641	-0.984544748
MB-0642	-0.462480227
MB-0643	0.838792973
MB-0644	-1.079002182
MB-0646	0.9900383
MB-0649	-0.43130578
MB-0650	-0.032901612
MB-0652	1.067294899
MB-0653	-0.021590671
MB-0654	-0.537252994
MB-0655	0.036640021
MB-0656	0.90342481
MB-0657	2.38114235
MB-0658	-1.149763147
MB-0659	2.283500565
MB-0660	0.549106737
MB-0661	-0.49057153
MB-0662	1.460444714
MB-0663	-0.438488357
MB-0664	0.315752956
MB-0666	0.343051387
MB-0869	1.184279511
MB-0872	1.486957127
MB-0874	-0.168147813
MB-0877	1.192242592
MB-0880	-0.590212678
MB-0882	-1.749688131
MB-0884	0.423541319
MB-0891	-0.290839154
MB-0893	-0.240254555
MB-0895	-0.500597907
MB-0897	0.263627853
MB-0899	-0.393541869
MB-0901	1.922854276
MB-0904	0.473932111
MB-0906	-0.996723145
MB-2513	-0.45154669
MB-2517	0.373285671
MB-2536	-0.001899978
MB-2556	-0.528572585
MB-2564	0.354008732
MB-2610	0.368802975
MB-2613	0.953668392
MB-2614	0.415833884
MB-2616	1.098711823
MB-2617	1.152964135
MB-2618	1.213221521
MB-2624	1.507836968
MB-2626	-0.530352038
MB-2629	1.268411237
MB-2632	-0.474474333
MB-2634	3.765215529
MB-2642	0.46274209
MB-2643	-1.189202002
MB-2645	0.469909258
MB-2669	0.418062791
MB-2686	-0.299795499
MB-2705	-1.396708553
MB-2708	1.526706448
MB-2711	0.027089209
MB-2712	1.240457532
MB-2718	3.743167161
MB-2721	1.159780272
MB-2724	-0.717066472
MB-2725	-0.546225415
MB-2728	0.242828417
MB-2730	0.778933685
MB-2735	1.346728707
MB-2742	-0.306180786
MB-2744	-0.577850557
MB-2745	0.021210042
MB-2747	0.73674555
MB-2749	0.493857539
MB-2750	1.386331645
MB-2752	0.389729208
MB-2753	0.195604921
MB-2754	0.393227144
MB-2758	-0.325555276
MB-2760	-0.014159565
MB-2763	-0.013902379
MB-2764	0.21694476
MB-2765	0.905982147
MB-2767	1.094283576
MB-2769	0.289189345
MB-2770	-0.716118934
MB-2771	0.324386466
MB-2772	0.3344653
MB-2774	1.131667933
MB-2779	0.678673827
MB-2781	0.546754577
MB-2786	0.897036486
MB-2790	0.757233022
MB-2791	0.184248979
MB-2792	0.949729101
MB-2793	1.872578591
MB-2795	-0.185744851
MB-2796	-1.649517111
MB-2797	0.559107702
MB-2801	0.481600715
MB-2803	0.185290149
MB-2814	-0.359475985
MB-2815	-0.621688878
MB-2819	-1.12983229
MB-2820	0.12885902
MB-2821	0.330739569
MB-2823	-1.859763278
MB-2827	2.28863323
MB-2833	0.567708644
MB-2834	-0.278092098
MB-2835	-0.193060923
MB-2838	0.119594448
MB-2840	0.758520579
MB-2842	0.00903713
MB-2843	0.108136548
MB-2844	0.338690993
MB-2845	-0.589032717
MB-2846	1.644888636
MB-2847	0.56513225
MB-2848	0.703720869
MB-2849	-0.219642865
MB-2850	1.289237398
MB-2851	1.806522504
MB-2853	0.004441788
MB-2854	0.91306162
MB-2857	0.993279323
MB-2858	0.93085386
MB-2863	0.57161813
MB-2867	1.091218468
MB-2895	0.278675533
MB-2896	1.668112866
MB-2900	1.169462868
MB-2901	1.060363793
MB-2904	-0.084223308
MB-2912	1.107825594
MB-2916	-0.03205752
MB-2917	0.897101623
MB-2919	-0.487711642
MB-2922	0.966863182
MB-2923	0.62758179
MB-2927	0.467331128
MB-2929	0.550766617
MB-2931	0.2208958
MB-2932	0.29298755
MB-2933	-0.287836065
MB-2939	0.468419722
MB-2944	0.19353498
MB-2947	-0.044185085
MB-2951	1.335193021
MB-2952	2.222723761
MB-2953	-0.08196516
MB-2954	0.310312925
MB-2957	-0.389336457
MB-2960	0.913387407
MB-2963	-0.129980112
MB-2964	1.191062554
MB-2966	1.804597802
MB-2969	-0.257651921
MB-2970	1.410105547
MB-2971	0.52337551
MB-2977	-0.382566346
MB-2983	1.473780885
MB-2984	1.227368511
MB-2990	1.810965449
MB-2993	0.620762847
MB-2994	1.825089604
MB-2996	1.444810358
MB-2999	-0.58750343
MB-3001	0.492178734
MB-3002	1.523188798
MB-3005	0.022370345
MB-3006	0.536555509
MB-3007	0.055025176
MB-3008	2.349402809
MB-3013	0.876884461
MB-3014	2.422975645
MB-3016	-0.181905787
MB-3021	-0.175374936
MB-3025	1.84608776
MB-3026	0.947389426
MB-3028	-1.506514158
MB-3031	0.440585913
MB-3032	0.335238033
MB-3033	0.123645689
MB-3035	-0.04333576
MB-3037	-0.048175915
MB-3046	0.860846852
MB-3049	-0.441934903
MB-3050	0.172126622
MB-3057	0.892405723
MB-3058	1.695414896
MB-3060	0.514112008
MB-3062	0.597020648
MB-3063	2.752505091
MB-3064	0.588343702
MB-3067	0.868674886
MB-3079	-0.556600512
MB-3083	1.249005347
MB-3085	0.97185535
