Sample	CNA
MB-0000	0.133018428
MB-0002	0.357456863
MB-0005	-0.940759582
MB-0006	1.215592119
MB-0010	-0.60265691
MB-0014	-1.65122641
MB-0022	-1.711594623
MB-0028	0.798279468
MB-0035	-0.789459312
MB-0036	-1.194948312
MB-0039	-0.205559566
MB-0045	-1.00280052
MB-0046	0.097577546
MB-0048	-1.770524867
MB-0050	-0.761554889
MB-0053	-1.320001118
MB-0054	0.130983688
MB-0056	-1.433829076
MB-0060	-0.057232459
MB-0062	1.476081133
MB-0064	-1.383174396
MB-0066	0.660329518
MB-0068	-1.168215451
MB-0079	-1.846815792
MB-0081	-1.876806201
MB-0083	-1.218760556
MB-0093	-0.570967574
MB-0095	0.342159281
MB-0097	2.696533226
MB-0100	0.438410581
MB-0101	0.556862422
MB-0102	-0.866887539
MB-0106	0.850338021
MB-0107	0.027273282
MB-0108	-0.830970399
MB-0109	0.402660632
MB-0111	-0.80874665
MB-0112	0.591555771
MB-0113	2.489117473
MB-0114	-0.664988864
MB-0115	0.643168854
MB-0116	-1.333695029
MB-0117	0.215367519
MB-0119	-1.633149388
MB-0120	0.684376398
MB-0121	0.490108442
MB-0122	0.186460746
MB-0123	-0.148661971
MB-0124	1.617352963
MB-0125	-0.0855843
MB-0126	-1.311779122
MB-0128	-1.457393313
MB-0129	-0.007740857
MB-0130	0.32207502
MB-0131	-0.199938055
MB-0133	-0.412845424
MB-0134	-1.159473005
MB-0135	-0.256830173
MB-0136	-0.861051149
MB-0138	-0.555266216
MB-0139	-1.152092957
MB-0140	-0.386004201
MB-0142	0.382732538
MB-0143	-0.74199989
MB-0144	-0.643667454
MB-0145	-0.458423174
MB-0146	-0.935111192
MB-0147	0.652740088
MB-0148	0.175375476
MB-0149	1.304529279
MB-0150	0.927007839
MB-0151	1.666301826
MB-0152	1.216318731
MB-0154	-0.278081626
MB-0155	-0.995329286
MB-0157	-0.162578811
MB-0162	0.405612617
MB-0163	0.025976191
MB-0164	1.408416736
MB-0165	-0.370501779
MB-0166	-0.270136904
MB-0167	0.106378483
MB-0168	-1.311721495
MB-0170	-0.311407956
MB-0171	-0.856236279
MB-0172	0.676703612
MB-0173	-0.092505379
MB-0174	-1.259485084
MB-0175	0.852142567
MB-0176	1.226383139
MB-0177	0.03960234
MB-0178	0.939171693
MB-0179	-0.9637868
MB-0180	1.635206287
MB-0181	-0.767725556
MB-0184	-1.212485244
MB-0188	-0.343176868
MB-0189	-1.062659646
MB-0191	-0.244368927
MB-0192	-0.237371705
MB-0193	-0.966500023
MB-0194	-0.62807713
MB-0195	0.530805541
MB-0197	0.39710707
MB-0198	-1.311674274
MB-0199	-0.014551218
MB-0200	-0.818192982
MB-0201	-0.169797337
MB-0202	-0.874633776
MB-0203	-0.504817138
MB-0204	-0.016986441
MB-0205	-0.300151731
MB-0206	0.903540059
MB-0207	0.193840852
MB-0209	-2.163576206
MB-0211	0.480726424
MB-0214	-2.641922086
MB-0215	-0.499246838
MB-0218	-0.401743259
MB-0220	-1.130326652
MB-0221	1.903053733
MB-0222	-1.142510274
MB-0223	1.073628527
MB-0224	0.314950731
MB-0225	1.863461869
MB-0226	0.027273282
MB-0227	-0.540087544
MB-0228	-0.271286396
MB-0229	0.58965644
MB-0230	0.998773269
MB-0231	-1.240801356
MB-0232	-0.224368994
MB-0233	-1.832365728
MB-0234	0.342950839
MB-0235	-0.312524745
MB-0236	-0.360089444
MB-0238	-2.546792195
MB-0239	1.002808574
MB-0241	0.996593725
MB-0242	-0.569445622
MB-0243	-0.767794059
MB-0244	-1.153801904
MB-0245	-0.140506031
MB-0247	0.06108207
MB-0248	0.274262666
MB-0249	0.47116742
MB-0253	-0.861753043
MB-0256	0.125570055
MB-0257	-1.50003762
MB-0258	-0.387977636
MB-0259	2.031172587
MB-0260	-1.182323877
MB-0261	-0.051303946
MB-0262	0.555561265
MB-0263	1.065255735
MB-0264	0.83245792
MB-0265	-0.996545597
MB-0266	-1.105912966
MB-0268	0.375698126
