Sample	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
MB-0000	-0.428885123	-0.709268094	0.037195173	1.615916573	-0.005841662	0.740133693	2.803861529	3.700348421	-0.257451881	1.930159301
MB-0002	-0.250204036	-0.680913786	1.358689998	0.570491138	-0.246711072	0.503120123	-0.229301463	-0.897636811	1.391552615	-1.345366009
MB-0005	0.167196122	1.158967587	1.139635343	0.701968998	-0.455031567	2.152887614	0.195892311	-0.36486387	2.940275648	2.089764018
MB-0006	2.746341096	2.468484159	1.248705719	0.666051191	-0.789769637	0.641086817	0.190657645	-0.661705985	2.135008981	1.720997165
MB-0010	0.493990528	1.992110219	1.151750716	0.983809713	0.177538366	0.710164934	0.266134709	-0.151617817	2.318252018	0.659143586
MB-0014	0.606222024	1.469910064	-0.197993918	0.327297204	-1.158896146	0.301033215	-0.396870883	0.054844734	3.378796576	2.491696393
MB-0022	-0.696521027	-0.532120023	-1.127684242	0.777293057	-1.443156477	0.730000967	-0.184142201	0.929419203	3.081433547	3.040558932
MB-0028	1.084073767	2.18574333	-0.852739974	-1.099195507	-0.863258971	-1.135759622	-0.772572569	-0.954924901	-0.754495451	-0.503496353
MB-0035	0.349139787	2.297392621	-1.500876026	-1.809234336	-0.037582726	-0.983485059	-0.9827357	-0.797013496	-1.745732852	-0.828090904
MB-0036	0.486547986	-0.327659457	0.272680276	-0.58427987	0.536777302	-0.362186574	0.050428587	-0.62247442	0.288918169	-0.927939978
MB-0039	2.345571223	1.095093052	0.019577027	-3.460968286	0.222614028	-1.970829554	-1.163478585	-0.374858193	-1.022887973	-1.073745043
MB-0045	-1.334279642	-0.534376546	0.054254058	0.600474439	0.332528999	1.148907359	1.070460887	1.029483783	-0.55572666	2.227027763
MB-0046	1.118955682	1.685060859	1.220418467	-0.376360107	-0.656714903	-0.107710585	-0.700930206	0.485138983	0.492752849	-1.020163501
MB-0048	-1.397420347	-1.15897656	-0.946607761	0.410985036	-0.621272661	1.247399047	0.69548511	-0.210421966	3.18963657	3.328944813
MB-0050	-0.000359784	0.346999093	0.680781724	0.382036116	-1.423475533	1.288142646	-0.267695928	1.672099461	-0.553550734	0.154732011
MB-0053	0.896014	2.379401716	-0.145923617	-0.92296215	-0.474356132	-0.433662215	-0.924396849	-0.743066659	1.262562105	2.166142518
MB-0054	0.001712363	0.77825705	-0.086591536	0.194147719	-2.193077364	0.393980276	-0.005243804	-0.68473697	0.941417035	3.164800775
MB-0056	-0.657763376	0.467747095	-0.573375877	-0.712397722	0.679621659	0.376340065	-0.480833974	-1.17617646	0.444299484	0.946390715
MB-0060	1.221764753	-0.344368753	0.45764032	0.254318506	-0.755041197	-1.971499199	0.717418658	-0.916881913	-0.728253514	0.123979328
MB-0062	1.803088365	1.685160285	0.199544523	0.566604786	0.535860101	-0.586498662	-0.827698105	-0.957780662	-0.131572305	1.827913946
